MONTH,STEP_CODE,CNT,QTY
'201206,"[ 7, 8)","104,725","783,902"
'201209,"[45,50)","3,033","143,590"
'201212,"[25,30)","18,495","500,492"
'198905,"[ 0, 0]",1,0
'201307,"[ 7, 8)","104,035","779,869"
'201312,"[ 7, 8)","107,912","808,301"
'201310,"[10,12)","174,087","1,909,262"
'201404,"[ 5, 6)","104,154","568,927"
'201405,"[ 5, 6)","98,348","541,194"
'201404,"[12,14)","130,257","1,685,219"
'201406,"[45,50)","2,148","101,490"
'200612,"[ 7, 8)","74,327","557,716"
'200610,"[50,..)","1,141","161,179"
'200508,"[ 5, 6)",132,723
'200608,"[ 6, 7)",849,"5,512"
'200410,"[ 0, 0]","1,206",0
'200603,"[20,25)",386,"8,542"
'200511,"[50,..)",165,"35,784"
'200508,"[14,16)",116,"1,742"
'200506,"[12,14)",130,"1,679"
'200502,"[ 6, 7)",104,679
'200405,"( 0, 1)",244,83
'200402,"[25,30)",26,716
'200507,"[20,25)",131,"2,907"
'200412,"[16,18)",43,731
'200601,"[45,50)",28,"1,343"
'200310,"[ 8, 9)",42,352
'200412,"[ 4, 5)",79,355
'200212,"[ 2, 3)",34,86
'200306,"[20,25)",21,472
'199307,"[ 9,10)",1,10
'200206,"[ 9,10)",20,190
'199712,"[ 1, 2)",6,9
'199809,"[ 1, 2)",8,11
'200110,"[ 1, 2)",12,17
'199308,"[25,30)",2,53
'199910,"[25,30)",3,78
'199604,"[ 4, 5)",4,18
'199908,"[ 4, 5)",5,23
'199309,"[ 0, 0]",141,0
'199401,"[ 0, 0]",140,0
'199401,"[ 4, 5)",4,18
'200112,"[ 9,10)",5,47
'200702,"[ 2, 3)","117,677","293,000"
'200205,"[10,12)",24,259
'200109,"[ 2, 3)",19,50
'200612,"[16,18)","62,525","1,059,680"
'199809,"( 0, 1)",22,5
'200705,"[ 9,10)","92,128","874,264"
'200111,"[ 6, 7)",5,33
'200204,"[30,35)",7,229
'199510,"[ 2, 3)",6,15
'200711,"[ 7, 8)","102,991","771,453"
'199506,"[ 6, 7)",2,14
'199602,"[ 6, 7)",2,13
'199512,"[30,35)",2,66
'199501,"[ 7, 8)",2,14
'200710,"[20,25)","88,814","1,964,549"
'199209,"[ 5, 6)",1,5
'199211,"[ 5, 6)",1,5
'199902,"[ 5, 6)",2,11
'200011,"[14,16)",6,91
'200811,"[40,45)","3,661","154,735"
'199911,"[12,14)",1,13
'199903,"[20,25)",3,65
'200903,"[40,45)","3,185","134,734"
'200008,"[40,45)",1,44
'200905,"[ 0, 0]","145,782",0
'200903,"[14,16)","110,573","1,651,293"
'200907,"[12,14)","140,867","1,824,651"
'200102,"[ 7, 8)",1,8
'201001,"[45,50)","1,814","85,702"
'201001,"[40,45)","2,837","119,983"
'200911,"[14,16)","109,550","1,636,074"
'201003,"[ 1, 2)","115,557","167,598"
'199906,"[ 3, 4)",2,7
'201005,"[ 6, 7)","103,162","670,268"
'201003,"[14,16)","113,503","1,695,244"
'201006,"[50,..)","12,388","2,252,381"
'201007,"[ 4, 5)","108,451","486,060"
'201009,"[ 4, 5)","112,713","506,000"
'199712,"[10,12)",1,10
'199802,"[ 9,10)",1,9
'201102,"[50,..)","5,347","1,192,466"
'201111,"[ 2, 3)","117,372","293,236"
'201109,"( 0, 1)","148,006","78,498"
'199806,"[16,18)",1,16
'200008,"[ 6, 7)",2,12
'201202,"[ 2, 3)","121,624","304,025"
'201301,"[40,45)","1,969","83,259"
'199306,"[ 6, 7)",1,7
'201201,"[12,14)","139,750","1,808,310"
'201205,"[20,25)","78,950","1,744,587"
'201208,"[25,30)","33,624","913,510"
'201211,"[50,..)","5,944","1,371,651"
'201304,"[ 0, 0]","222,042",0
'198201,"[ 0, 0]",1,0
'199005,"[ 0, 0]",1,0
'199104,"[ 0, 0]",1,0
'198207,"[ 0, 0]",1,0
'201402,"[25,30)","10,124","273,938"
'201306,"[10,12)","171,698","1,877,914"
'201308,"( 0, 1)","153,663","80,352"
'201307,"[20,25)","74,041","1,638,607"
'201309,"[14,16)","97,571","1,457,409"
'201407,"[30,35)","12,448","400,474"
'201408,"[18,20)","43,359","820,661"
'201410,"[ 8, 9)","29,230","248,244"
'201409,"( 0, 1)","93,721","51,717"
'200609,"( 0, 1)","3,914","1,584"
'200607,"[ 7, 8)",650,"4,888"
'200611,"[20,25)","27,501","606,273"
'200607,"[30,35)",255,"8,248"
'200512,"[ 9,10)",154,"1,465"
'200504,"[ 9,10)",87,828
'200605,"[16,18)",408,"6,929"
'200510,"[18,20)",99,"1,873"
'200505,"[ 5, 6)",111,610
'200402,"[30,35)",26,852
'200501,"[50,..)",79,"27,976"
'200203,"[ 7, 8)",7,51
'200310,"[ 7, 8)",48,359
'200303,"[45,50)",3,144
'200503,"[14,16)",76,"1,140"
'200412,"[20,25)",61,"1,360"
'199211,"[ 0, 0]",141,0
'199403,"[ 0, 0]",140,0
'199502,"[ 8, 9)",1,9
'199701,"[ 9,10)",1,10
'200103,"[ 9,10)",1,10
'199512,"[ 0, 0]",141,0
'199202,"[ 1, 2)",4,7
'200109,"[ 1, 2)",13,19
'199611,"[25,30)",1,26
'200206,"[25,30)",10,275
'199705,"[ 9,10)",1,10
'200006,"[ 9,10)",2,19
'199912,"( 0, 1)",25,6
'200304,"[ 6, 7)",37,244
'200701,"[16,18)","86,162","1,460,035"
'200206,"[20,25)",13,295
'200707,"[30,35)","22,489","724,316"
'200107,"[ 5, 6)",7,37
'200707,"[14,16)","112,757","1,685,676"
'199807,"[30,35)",3,96
'199405,"[ 5, 6)",1,6
'200010,"[ 5, 6)",4,21
'199403,"[16,18)",1,16
'199411,"[14,16)",1,16
'199501,"[16,18)",2,33
'200001,"[12,14)",3,38
'199403,"[12,14)",1,14
'199709,"[20,25)",4,88
'200902,"[45,50)","1,466","69,351"
'199911,"[50,..)",1,140
'200905,"[ 8, 9)","100,290","851,055"
'199702,"[30,35)",1,30
'200912,"( 0, 1)","151,871","81,476"
'200910,"[18,20)","57,832","1,095,039"
'199811,"[ 3, 4)",2,7
'199909,"[ 3, 4)",2,7
'201005,"[45,50)","3,224","152,550"
'201008,"[35,40)","9,334","348,042"
'201009,"[ 2, 3)","113,278","283,299"
'201008,"[20,25)","74,364","1,646,894"
'199505,"[10,12)",1,10
'201104,"[12,14)","141,697","1,832,703"
'201111,"[ 3, 4)","121,785","425,066"
'201109,"[ 7, 8)","110,287","825,869"
'199808,"[14,16)",1,15
'199910,"[14,16)",1,15
'200012,"[14,16)",4,61
'199606,"[16,18)",1,16
'199612,"[ 6, 7)",1,6
'199805,"[ 6, 7)",1,6
'201204,"[ 8, 9)","104,604","887,239"
'201201,"[16,18)","70,342","1,189,601"
'201203,"[12,14)","142,842","1,849,222"
'201207,"[50,..)","15,378","2,386,074"
'201301,"[25,30)","17,330","468,903"
'198301,"[ 0, 0]",1,0
'198403,"[ 0, 0]",1,0
'201407,"[ 6, 7)","93,950","609,546"
'201410,"[20,25)","16,550","365,039"
'201410,"[50,..)","2,148","393,389"
'200509,"[ 2, 3)",167,423
'200509,"[16,18)",107,"1,826"
'200210,"[ 0, 0]",516,0
'200310,"[30,35)",21,676
'200408,"[30,35)",26,839
'200507,"[50,..)",140,"33,752"
'200605,"[ 6, 7)",448,"2,910"
'200107,"[ 7, 8)",5,36
'200110,"[ 7, 8)",5,36
'200506,"[18,20)",59,"1,122"
'200209,"[45,50)",2,92
'200101,"[ 3, 4)",6,20
'200504,"[14,16)",88,"1,315"
'200207,"[ 2, 3)",24,60
'200503,"[ 2, 3)",102,257
'199312,"[ 9,10)",1,10
'199410,"[ 9,10)",1,10
'199811,"[ 1, 2)",8,11
'200011,"[ 1, 2)",11,16
'199606,"[25,30)",1,26
'199902,"[ 3, 4)",4,14
'199810,"[ 9,10)",1,10
'200103,"[25,30)",5,133
'200110,"[25,30)",6,160
'199911,"[ 9,10)",2,19
'200302,"[ 5, 6)",46,249
'200105,"( 0, 1)",45,10
'200304,"[14,16)",22,327
'199205,"( 0, 1)",17,2
'199505,"( 0, 1)",22,4
'200103,"[50,..)",3,288
'200104,"[10,12)",5,57
'200111,"[16,18)",4,67
'199608,"[ 2, 3)",6,15
'199607,"[ 2, 3)",6,15
'200109,"[ 5, 6)",7,37
'200710,"[ 6, 7)","101,656","659,682"
'199608,"[30,35)",2,66
'199906,"[30,35)",2,64
'200002,"[30,35)",3,93
'199509,"[30,35)",2,64
'200801,"[ 8, 9)","100,487","853,793"
'200210,"[35,40)",8,301
'199212,"[ 5, 6)",1,6
'200803,"[ 0, 0]","131,999",0
'200804,"[ 5, 6)","108,158","592,618"
'199303,"[16,18)",1,16
'199912,"[16,18)",2,33
'200302,"[45,50)",4,190
'200112,"[40,45)",3,129
'200206,"[40,45)",4,167
'200811,"[50,..)","9,542","1,429,393"
