Date;Steps;CNT;QTY;ZipCode
'200111;[ 8, 9);4;34;19006
'200801;[35,40);5885;2193;19007
'199202;[ 5, 6);1;5;19008
'199509;[ 5, 6);1;5;19009
'200802;[ 5, 6);112349;617036;19010
'199508;[ 5, 6);1;6;19012
'200804;[ 0, 0];130521;0;19013
'200202;[18,20);5;94;19014
'200811;[ 2, 3);11432;285424;19015
'199804;[12,14);1;13;19016
'200901;[50,..);7691;1209277;19019
'200810;[14,16);113111;1690961;19100
'200007;[20,25);4;86;19200
'200906;[ 7, 8);104384;781349;19300
'200912;[50,..);7605;2100321;19400
'200001;[ 8, 9);1;9;19500
'200005;[ 8, 9);1;9;19600
'199809;[ 8, 9);1;8;32003
'199305;[20,25);1;22;32006
'199401;[20,25);1;22;32009
'199601;[ 3, 4);3;10;32010
'200102;[ 9,10);1;9;32011
'201011;[ 1, 2);115187;171659;32100
'201012;[ 8, 9);102932;873436;32200
'201101;[ 5, 6);112449;616238;33050
'201103;[40,45);2789;117942;33100
'201108;[25,30);34933;949972;34100
'201104;[14,16);103232;1541398;18544
'201104;[16,18);7319;1238170;18545
'201111;( 0, 1);149484;77562;18546
'199708;[ 6, 7);1;6;18547
'201301;[ 0, 0];233521;0;18648
'201203;[ 4, 5);115805;518849;18755
'199010;[ 7, 8);1;7;18756
'199204;[ 6, 7);1;7;18757
'198807;[ 7, 8);1;7;18758
'201202;[12,14);12884;1666325;18863
'201206;[ 7, 8);104725;783902;18883
'201209;[45,50);3033;14359;18900
'201212;[25,30);18495;500492;18901
'198905;[ 0, 0];1;0;18902
'201307;[ 7, 8);104035;779869;18903
'201312;[ 7, 8);107912;808301;19001
'201310;[10,12);174087;1909262;19002
'201404;[ 5, 6);104154;568927;19003
'201405;[ 5, 6);98348;541194;19004
'201404;[12,14);130257;1685219;19005
'201406;[45,50);2148;10149;19006
'200612;[ 7, 8);74327;557716;19007
'200610;[50,..);1141;161179;19008
'200508;[ 5, 6);132;723;19009
'200608;[ 6, 7);849;5512;19010
'200410;[ 0, 0];1206;0;19012
'200603;[20,25);386;8542;19013
'200511;[50,..);165;35784;19014
'200508;[14,16);116;1742;19014
'200506;[12,14);130;1679;19014
'200502;[ 6, 7);104;679;19014
'200405;( 0, 1);244;83;19014
'200402;[25,30);26;716;19014
'200507;[20,25);131;2907;19014
'200412;[16,18);43;731;19014
'200601;[45,50);28;1343;19014
'200310;[ 8, 9);42;352;19014
'200412;[ 4, 5);79;355;19014
'200212;[ 2, 3);34;86;19014
'200306;[20,25);21;472;19014
'199307;[ 9,10);1;10;19014
'200206;[ 9,10);20;190;19014
'199712;[ 1, 2);6;9;19014
'199809;[ 1, 2);8;11;19014
'200110;[ 1, 2);12;17;19014
'199308;[25,30);2;53;19014
'199910;[25,30);3;78;19014
'199604;[ 4, 5);4;18;19014
'199908;[ 4, 5);5;23;19014
'199309;[ 0, 0];141;0;19014
'199401;[ 0, 0];140;0;19014
'199401;[ 4, 5);4;18;19014
'200112;[ 9,10);5;47;19014
'200702;[ 2, 3);117677;293;19014
'200205;[10,12);24;259;19014
'200109;[ 2, 3);19;50;19014
'200612;[16,18);62525;1059680;19014
'199809;( 0, 1);22;5;19014
'200705;[ 9,10);92128;874264;19014
'200111;[ 6, 7);5;33;19014
'200204;[30,35);7;229;19014
'199510;[ 2, 3);6;15;19014
'200711;[ 7, 8);102991;771453;19014
'199506;[ 6, 7);2;14;19014
'199602;[ 6, 7);2;13;19014
'199512;[30,35);2;66;19014
'199501;[ 7, 8);2;14;19014
'200710;[20,25);88814;1964549;19014
'199209;[ 5, 6);1;5;19014
'199211;[ 5, 6);1;5;19014
'199902;[ 5, 6);2;11;19014
'200011;[14,16);6;91;19014
'200811;[40,45);3661;154735;19014
'199911;[12,14);1;13;19014
'199903;[20,25);3;65;19014
'200903;[40,45);3185;134734;19014
'200008;[40,45);1;44;19014
'200905;[ 0, 0];145782;0;19014
'200903;[14,16);110573;1651293;19014
'200907;[12,14);140867;1824651;19014
'200102;[ 7, 8);1;8;19014
'201001;[45,50);1814;85702;19014
'201001;[40,45);2837;119983;19014
'200911;[14,16);10955;1636074;19014
'201003;[ 1, 2);115557;167598;19014
'199906;[ 3, 4);2;7;19014
'201005;[ 6, 7);103162;670268;19014
'201003;[14,16);113503;1695244;19014
'201006;[50,..);12388;2252381;19014
'201007;[ 4, 5);108451;48606;19014
'201009;[ 4, 5);112713;506;19014
'199712;[10,12);1;10;19014
'199802;[ 9,10);1;9;19014
'201102;[50,..);5347;1192466;19014
'201111;[ 2, 3);117372;293236;19014
'201109;( 0, 1);148006;78498;19014
'199806;[16,18);1;16;19014
'200008;[ 6, 7);2;12;19014
'201202;[ 2, 3);121624;304025;19014
'201301;[40,45);1969;83259;19014
'199306;[ 6, 7);1;7;19014
'201201;[12,14);13975;1808310;19014
'201205;[20,25);7895;1744587;19014
'201208;[25,30);33624;91351;19014
'201211;[50,..);5944;1371651;19014
'201304;[ 0, 0];222042;0;19014
'198201;[ 0, 0];1;0;19014
'199005;[ 0, 0];1;0;19014
'199104;[ 0, 0];1;0;19014
'198207;[ 0, 0];1;0;19014
'201402;[25,30);10124;273938;19014
'201306;[10,12);171698;1877914;19014
'201308;( 0, 1);153663;80352;19014
'201307;[20,25);74041;1638607;19014
'201309;[14,16);97571;1457409;19014
'201407;[30,35);12448;400474;19014
'201408;[18,20);43359;820661;19014
'201410;[ 8, 9);2923;248244;19014
'201409;( 0, 1);93721;51717;19014
'200609;( 0, 1);3914;1584;19014
'200607;[ 7, 8);650;4888;19014
'200611;[20,25);27501;606273;19014
'200607;[30,35);255;8248;19014
'200512;[ 9,10);154;1465;19014
'200504;[ 9,10);87;828;19014
'200605;[16,18);408;6929;19014
'200510;[18,20);99;1873;19014
'200505;[ 5, 6);111;610;19014
'200402;[30,35);26;852;19014
'200501;[50,..);79;27976;19014
'200203;[ 7, 8);7;51;19014
'200310;[ 7, 8);48;359;19014
'200303;[45,50);3;144;19014
'200503;[14,16);76;114;19014
'200412;[20,25);61;136;19014
'199211;[ 0, 0];141;0;19014
'199403;[ 0, 0];140;0;19014
'199502;[ 8, 9);1;9;19014
'199701;[ 9,10);1;10;19014
'200103;[ 9,10);1;10;19014
'199512;[ 0, 0];141;0;19014
'199202;[ 1, 2);4;7;19014
'200109;[ 1, 2);13;19;19014
'199611;[25,30);1;26;19014
'200206;[25,30);10;275;19014
'199705;[ 9,10);1;10;19014
'200006;[ 9,10);2;19;19014
'199912;( 0, 1);25;6;19014
'200304;[ 6, 7);37;244;19014
'200701;[16,18);86162;1460035;19014
'200206;[20,25);13;295;19014
'200707;[30,35);22489;724316;19014
'200107;[ 5, 6);7;37;19014
'200707;[14,16);112757;1685676;19014
'199807;[30,35);3;96;19014
'199405;[ 5, 6);1;6;19014
'200010;[ 5, 6);4;21;19014
'199403;[16,18);1;16;19014
'199411;[14,16);1;16;19014
'199501;[16,18);2;33;19014
'200001;[12,14);3;38;19014
'199403;[12,14);1;14;19014
'199709;[20,25);4;88;19014
'200902;[45,50);1466;69351;19014
'199911;[50,..);1;140;19014
'200905;[ 8, 9);10029;851055;19014
'199702;[30,35);1;30;19014
'200912;( 0, 1);151871;81476;19014
'200910;[18,20);57832;1095039;19014
'199811;[ 3, 4);2;7;19014
'199909;[ 3, 4);2;7;19014
'201005;[45,50);3224;15255;19014
'201008;[35,40);9334;348042;19014
'201009;[ 2, 3);113278;283299;19014
'201008;[20,25);74364;1646894;19014
'199505;[10,12);1;10;19014
'201104;[12,14);141697;1832703;19014
'201111;[ 3, 4);121785;425066;19014
'201109;[ 7, 8);110287;825869;19014
'199808;[14,16);1;15;19014
'199910;[14,16);1;15;19014
'200012;[14,16);4;61;19014
'199606;[16,18);1;16;19014
'199612;[ 6, 7);1;6;19014
'199805;[ 6, 7);1;6;19014
'201204;[ 8, 9);104604;887239;19014
'201201;[16,18);70342;1189601;19014
'201203;[12,14);142842;1849222;19014
'201207;[50,..);15378;2386074;19014
'201301;[25,30);1733;468903;19014
'198301;[ 0, 0];1;0;19014
'198403;[ 0, 0];1;0;19014
'201407;[ 6, 7);9395;609546;19014
'201410;[20,25);1655;365039;19014
'201410;[50,..);2148;393389;19014
'200509;[ 2, 3);167;423;19014
'200509;[16,18);107;1826;19014
'200210;[ 0, 0];516;0;19014
'200310;[30,35);21;676;19014
'200408;[30,35);26;839;19014
'200507;[50,..);140;33752;19014
'200605;[ 6, 7);448;291;19014
'200107;[ 7, 8);5;36;19014
'200110;[ 7, 8);5;36;19014
'200506;[18,20);59;1122;19014
'200209;[45,50);2;92;19014
'200101;[ 3, 4);6;20;19014
'200504;[14,16);88;1315;19014
'200207;[ 2, 3);24;60;19014
'200503;[ 2, 3);102;257;19014
'199312;[ 9,10);1;10;19014
'199410;[ 9,10);1;10;19014
'199811;[ 1, 2);8;11;19014
'200011;[ 1, 2);11;16;19014
'199606;[25,30);1;26;19014
'199902;[ 3, 4);4;14;19014
'199810;[ 9,10);1;10;19014
'200103;[25,30);5;133;19014
'200110;[25,30);6;160;19014
'199911;[ 9,10);2;19;19014
'200302;[ 5, 6);46;249;19014
'200105;( 0, 1);45;10;19014
'200304;[14,16);22;327;19014
'199205;( 0, 1);17;2;19014
'199505;( 0, 1);22;4;19014
'200103;[50,..);3;288;19014
'200104;[10,12);5;57;19014
'200111;[16,18);4;67;19014
'199608;[ 2, 3);6;15;19014
'199607;[ 2, 3);6;15;19014
'200109;[ 5, 6);7;37;19014
'200710;[ 6, 7);101656;659682;19014
'199608;[30,35);2;66;19014
'199906;[30,35);2;64;19014
'200002;[30,35);3;93;19014
'199509;[30,35);2;64;19014
'200801;[ 8, 9);100487;853793;19014
'200210;[35,40);8;301;19014
'199212;[ 5, 6);1;6;19014
'200803;[ 0, 0];131999;0;19014
'200804;[ 5, 6);108158;592618;19014
'199303;[16,18);1;16;19014
'199912;[16,18);2;33;19014
'200302;[45,50);4;190;19014
'200112;[40,45);3;129;19014
'200206;[40,45);4;167;19014
'200811;[50,..);9542;1429393;19014
'199701;[12,14);1;14;19014
'199811;[12,14);1;13;19014
'199507;[12,14);1;14;19014
'200909;[ 2, 3);119678;298037;19014
'200909;[30,35);13946;448625;19014
'200909;[25,30);28747;779524;19014
'200907;[10,12);172387;1889820;19014
'200912;[ 3, 4);115239;402889;19014
'200108;[14,16);6;91;19014
'199810;[ 3, 4);3;10;19014
'199510;[ 3, 4);3;10;19014
'201006;[25,30);31914;865311;19014
'201006;[ 9,10);92552;876467;19014
'201012;[ 7, 8);105561;790099;19014
'201103;[ 0, 0];178778;0;19014
'201109;[ 0, 0];181089;0;19014
'201111;[ 8, 9);108881;923919;19014
'201108;[18,20);54665;1034817;19014
'201201;[ 1, 2);123514;177883;19014
'199810;[ 6, 7);1;6;19014
'201202;[35,40);285;106219;19014
'199707;[ 6, 7);1;6;19014
'199111;[ 6, 7);1;7;19014
'201206;[45,50);3278;154935;19014
'201207;[ 6, 7);105832;687089;19014
'201207;[30,35);17793;573061;19014
'201211;[ 1, 2);118951;177945;19014
'198511;[ 0, 0];1;0;19014
'198607;[ 0, 0];1;0;19014
'201306;[35,40);6826;254183;19014
'199112;[ 0, 0];1;0;19014
'198312;[ 0, 0];1;0;19014
'198601;[ 0, 0];1;0;19014
'201307;[ 0, 0];222269;0;19014
'201305;[16,18);82236;1391892;19014
'201307;[12,14);133346;1727040;19014
'201401;[45,50);1154;54624;19014
'201404;[25,30);18045;487806;19014
'201404;[ 4, 5);103313;463532;19014
'201311;[50,..);5463;1271804;19014
'201406;[ 5, 6);99411;543975;19014
'201407;[35,40);6598;245914;19014
'200610;[ 8, 9);4665;39659;19014
'200608;[35,40);224;8345;19014
'200609;[35,40);219;8144;19014
'200609;[16,18);1043;1768;19014
'200503;[ 0, 0];1673;0;19014
'200503;[ 9,10);79;751;19014
'200604;[ 9,10);443;4213;19014
'200603;[ 6, 7);376;2445;19014
'200312;[30,35);23;745;19014
'200301;[50,..);29;3085;19014
'200105;[ 7, 8);5;36;19014
'200512;[ 7, 8);184;1381;19014
'200509;[ 1, 2);191;277;19014
'200503;[ 1, 2);128;185;19014
'200505;[ 2, 3);112;283;19014
'200205;( 0, 1);74;21;19014
'200209;[ 5, 6);33;183;19014
'200205;[12,14);20;257;19014
'200309;[12,14);43;549;19014
'200203;[ 2, 3);21;53;19014
'200411;[10,12);89;968;19014
'200102;[ 8, 9);1;9;19014
'199312;[25,30);2;53;19014
'199402;[20,25);3;68;19014
'199306;[ 4, 5);4;18;19014
'199308;[ 4, 5);4;18;19014
'199409;[ 4, 5);4;18;19014
'200311;[ 8, 9);35;297;19014
'199209;[ 0, 0];140;0;19014
'199902;[20,25);3;68;19014
'199910;[ 4, 5);5;23;19014
'200205;[ 5, 6);26;143;19014
'200206;[16,18);8;135;19014
'199411;( 0, 1);21;4;19014
'200705;[ 0, 0];123033;0;19014
'200109;[16,18);4;67;19014
'200707;[ 1, 2);103599;152439;19014
'200107;[30,35);7;226;19014
'199309;[ 2, 3);5;13;19014
'199702;[ 2, 3);5;12;19014
'200705;[18,20);7057;1336651;19014
'199810;[30,35);3;96;19014
'199905;[30,35);3;96;19014
'200711;[40,45);3806;160933;19014
'200711;[ 5, 6);10645;583377;19014
'199710;[30,35);2;66;19014
'199909;[30,35);3;97;19014
'200206;[18,20);10;189;19014
'200712;( 0, 1);133013;70057;19014
'201402;[ 0, 0];249274;0;19014
'200801;[14,16);114096;1705925;19014
'199512;[16,18);2;33;19014
'199207;[16,18);1;16;19014
'200102;[45,50);1;48;19014
'200103;[20,25);6;126;19014
'200809;[ 6, 7);11025;715359;19014
'200101;[18,20);4;78;19014
'200810;[ 1, 2);111107;166434;19014
'200810;[35,40);8537;318455;19014
'200811;[ 4, 5);114769;514252;19014
'199211;[12,14);1;13;19014
'200902;[ 0, 0];152888;0;19014
'199705;[20,25);2;44;19014
'199808;[20,25);3;65;19014
'200906;[50,..);15163;2073535;19014
'200909;[18,20);52429;991648;19014
'200908;( 0, 1);138109;75167;19014
'200910;[ 6, 7);109019;707505;19014
'200911;[ 6, 7);113021;732834;19014
'200911;[ 8, 9);105776;897688;19014
'199208;[30,35);1;34;19014
'199507;[ 8, 9);1;9;19014
'201001;[ 3, 4);115756;404487;19014
'201001;[ 2, 3);112958;282579;19014
'200912;[16,18);79539;1347614;19014
'199207;[20,25);1;22;19014
'199210;[20,25);1;22;19014
'201003;[ 8, 9);105306;893696;19014
'201003;[ 5, 6);110931;609033;19014
'201008;[50,..);14592;2180484;19014
'201006;[16,18);75947;1285670;19014
'201010;[ 0, 0];151481;0;19014
'201101;[40,45);272;115091;19014
'201102;[ 3, 4);129209;450247;19014
'201103;[ 7, 8);108331;810982;19014
'201106;[40,45);471;199147;19014
'201109;[ 6, 7);114663;743186;19014
'201201;[ 4, 5);116014;518872;19014
'201112;( 0, 1);147782;75057;19014
'201203;[18,20);50534;956555;19014
'201204;[ 7, 8);108602;813137;19014
'199008;[ 7, 8);1;7;19014
'201203;( 0, 1);141467;68694;19014
'201205;[ 1, 2);113953;163283;19014
'201204;[30,35);9524;305646;19014
'201208;[45,50);392;185622;19014
'201301;[30,35);6816;219084;19014
'201303;[ 2, 3);11193;279276;19014
'198712;[ 0, 0];1;0;19014
'198904;[ 0, 0];1;0;19014
'198909;[ 0, 0];1;0;19014
'201303;[16,18);72624;1229001;19014
'201403;[ 2, 3);109455;275556;19014
'201404;( 0, 1);129445;6341;19014
'201405;[ 2, 3);98457;247347;19014
'201408;[ 4, 5);9878;442616;19014
'200610;[30,35);1085;34888;19014
'200610;[ 6, 7);4828;3135;19014
'200603;[50,..);232;59795;19014
'200510;[35,40);61;2272;19014
'200604;[35,40);92;3415;19014
'200505;[ 8, 9);83;700;19014
'200411;[50,..);66;2066;19014
